date,season,scenario,C_boss,M_boss,B_total,C_share,C_accounts,C_mean_per_100k,estimated_transfer_count,transferred_production_in_main,stage,cap_tier,season_boss_tier,assumption_only_share_lower,assumption_only_share_upper,C_tier1,M_tier1,C_tier2,M_tier2,C_tier3,M_tier3,C_tier4,M_tier4,C_tier5,M_tier5,C_tier6,M_tier6,C_tier7,M_tier7,A_accounts,M_mean_per_100k,scenario_share_min,scenario_share_max
2024-08-22,0,primary,0.0,161.95945782696603,161.95945782696603,0.0,,,,,outside_season,,3,0.0,0.0,0.0,73.61793537589365,0.0,79.50737020596515,0.0,5.889434830071492,0.0,0.0,0.0,0.0,0.0,2.944717415035746,0.0,0.0,317258.0,51.04976322960052,0.0,0.0
2024-08-29,0,primary,0.0,164.90417524200177,164.90417524200177,0.0,,,,,outside_season,,3,0.0,0.0,0.0,70.6732179608579,0.0,82.45208762100089,0.0,5.889434830071492,0.0,0.0,0.0,0.0,0.0,5.889434830071492,0.0,0.0,306714.0,53.764802142061264,0.0,0.0
2024-09-05,0,primary,0.0,167.8488926570375,167.8488926570375,0.0,,,,,outside_season,,3,0.0,0.0,0.0,73.61793537589365,0.0,82.45208762100089,0.0,5.889434830071492,0.0,0.0,0.0,0.0,0.0,5.889434830071492,0.0,0.0,303541.0,55.296942639392206,0.0,0.0
2024-09-12,0,primary,0.0,176.68304490214476,176.68304490214476,0.0,,,,,outside_season,,3,0.0,0.0,0.0,76.56265279092939,0.0,88.34152245107238,0.0,5.889434830071492,0.0,0.0,0.0,0.0,0.0,5.889434830071492,0.0,0.0,306155.0,57.71032480349651,0.0,0.0
2024-09-19,0,primary,0.0,179.6277623171805,179.6277623171805,0.0,,,,,outside_season,,3,0.0,0.0,0.0,79.50737020596515,0.0,88.34152245107238,0.0,5.889434830071492,0.0,0.0,0.0,0.0,0.0,5.889434830071492,0.0,0.0,309978.0,57.94855193503426,0.0,0.0
2024-09-26,0,primary,0.0,182.57247973221627,182.57247973221627,0.0,,,,,outside_season,,3,0.0,0.0,0.0,79.50737020596515,0.0,91.28623986610813,0.0,8.834152245107237,0.0,0.0,0.0,0.0,0.0,2.944717415035746,0.0,0.0,313672.0,58.20490185040943,0.0,0.0
2024-10-03,0,primary,0.0,188.46191456228775,188.46191456228775,0.0,,,,,outside_season,,3,0.0,0.0,0.0,82.45208762100089,0.0,91.28623986610813,0.0,0.0,0.0,0.0,0.0,2.944717415035746,0.0,11.778869660142984,0.0,0.0,317449.0,59.367619542757346,0.0,0.0
2024-10-10,0,primary,0.0,188.46191456228775,188.46191456228775,0.0,,,,,outside_season,,3,0.0,0.0,0.0,79.50737020596515,0.0,94.23095728114387,0.0,5.889434830071492,0.0,0.0,0.0,0.0,0.0,8.834152245107237,0.0,0.0,308321.0,61.12522811040692,0.0,0.0
2024-10-17,0,primary,0.0,176.68304490214476,176.68304490214476,0.0,,,,,outside_season,,3,0.0,0.0,0.0,70.6732179608579,0.0,91.28623986610813,0.0,8.834152245107237,0.0,0.0,0.0,0.0,0.0,5.889434830071492,0.0,0.0,307061.0,57.54004738542008,0.0,0.0
2024-10-24,0,primary,0.0,173.73832748710902,173.73832748710902,0.0,,,,,outside_season,,3,0.0,0.0,0.0,70.6732179608579,0.0,91.28623986610813,0.0,5.889434830071492,0.0,0.0,0.0,0.0,0.0,5.889434830071492,0.0,0.0,294497.0,58.99493967242757,0.0,0.0
