month,boss_pct,field_pct,ursus_pct,sum_pct,status,image
2023-04,64.8,27.2,8.0,100.0,direct_printed_monthly_percent,231116_생산처별비율.png
2023-05,64.6,27.0,8.3,99.89999999999999,direct_printed_monthly_percent,231116_생산처별비율.png
2023-06,60.5,29.2,10.3,100.0,direct_printed_monthly_percent,231116_생산처별비율.png
2023-07,52.3,36.8,10.8,99.89999999999999,direct_printed_monthly_percent,231116_생산처별비율.png
2023-08,55.7,34.9,9.4,100.0,direct_printed_monthly_percent,231116_생산처별비율.png
2023-09,58.6,33.2,8.1,99.9,direct_printed_monthly_percent,231116_생산처별비율.png
2023-10,60.9,31.2,7.9,100.0,direct_printed_monthly_percent,231116_생산처별비율.png
2023-11,61.7,31.1,7.2,100.00000000000001,direct_printed_monthly_percent,231116_생산처별비율.png
