date,season,stage,weight_status,A_accounts,C_accounts,M_boss,C_boss,B_total,bM_per_account,bC_per_account,w,E_main_equivalent_accounts,C_weighted_contribution,w_scenario_min,w_scenario_max,w_assumption_only_lower,w_assumption_only_upper,w_assumption_upper_unbounded,identity_relative_error,main_productivity_index,challenger_productivity_index,P_total,residual_outside_weekly_boss,q_main_lower_fixed_boss,q_main_upper_fixed_boss
2026-03-19,3,post_leap,valid,279166.0,138000.0,391.36890938433,29.72568096578164,421.0945903501116,0.0014019218292497,0.0002154034852592,0.1536487133341559,300369.52244011353,21203.522440113524,0.1075003388045096,0.2786049757570125,0.0,3.2367072463768123,False,0.0,197.83570005420145,30.397200764890066,558.5274726519523,137.43288230184066,0.0014019218292497294,0.0018942198967143945
2026-03-26,3,post_leap,valid,327578.0,154628.0,388.6630356272186,32.43155472289299,421.0945903501116,0.0011864747804407,0.0002097392110283,0.1767751110145345,354912.3818659554,27334.38186595545,0.1173426106080648,0.3270712950374974,0.0,3.389585327366325,False,1.82760255904091e-16,167.43235171020163,29.597872560995484,568.0478272994287,146.9532369493171,0.0011864747804407457,0.0016350801109248354
2026-04-02,3,post_leap,valid,320130.0,130670.0,395.4936857737926,28.54562199135481,424.0393077651474,0.0012354158803417,0.0002184558199384,0.1768277576924192,343236.0830976684,23106.083097668423,0.1144056394510243,0.3103533828190427,0.0,3.849861701778744,False,0.0,174.33879724683484,30.827938595951125,587.6748695472763,163.63556178212895,0.001235415880341713,0.0017465693548118625
2026-04-09,3,post_leap,valid,313838.0,119643.0,401.2395762542323,31.633883756022367,432.8734600102547,0.0012784926498838,0.0002644022947938,0.2068078332854676,338581.1095977732,24743.1095977732,0.1246364204583405,0.2814432288863564,0.0,4.02513310431868,False,1.6960632078472176e-16,180.41768315946328,37.31179014059259,568.4346861549432,135.56122614468848,0.0012784926498838009,0.001710439151405887
2026-04-16,0,end_boundary_unresolved,season_end_boundary,329305.0,,,,435.8181774252904,,,,,,,,,,False,,,,580.7416334960641,144.92345607077368,,
2026-04-23,0,outside_season,outside_season,338004.0,0.0,438.76289484032617,0.0,438.76289484032617,0.0012980997113653,,0.0,338004.0,0.0,0.0,0.0,,,False,0.0,183.18458260654552,,583.0748759683954,144.31198112806925,0.0017250531827090669,0.0017250531827090669
2026-04-30,0,outside_season,outside_season,332744.0,0.0,447.5970470854334,0.0,447.5970470854334,0.0013451694007568,,0.0,332744.0,0.0,0.0,0.0,,,False,0.0,189.8269393755295,,640.9042301985003,193.30718311306686,0.0019261180673385554,0.0019261180673385554
2026-05-07,0,outside_season,outside_season,326800.0,0.0,456.4311993305406,0.0,456.4311993305406,0.001396668296605,,0.0,326800.0,0.0,0.0,0.0,,,False,0.0,197.09433467502924,,590.6743906029266,134.24319127238596,0.00180744917565155,0.00180744917565155
2026-05-14,0,outside_season,outside_season,327108.0,0.0,459.3759167455764,0.0,459.3759167455764,0.001404355493432,,0.0,327108.0,0.0,0.0,0.0,,,False,0.0,198.17913265305555,,571.2212788485875,111.84536210301115,0.0017462773116175315,0.0017462773116175315
2026-05-21,0,outside_season,outside_season,326406.0,0.0,468.2100689906836,0.0,468.2100689906836,0.0014344407547369,,0.0,326406.0,0.0,0.0,0.0,,,False,0.0,202.4246894361748,,588.2526229690943,120.0425539784107,0.0018022114267785957,0.0018022114267785957
2026-05-28,0,outside_season,outside_season,329278.0,0.0,479.9889386508266,0.0,479.9889386508266,0.0014577012088594,,0.0,329278.0,0.0,0.0,0.0,,,False,0.0,205.70714650966227,,656.9044706758757,176.91553202504912,0.001994984392142432,0.001994984392142432
2026-06-04,0,outside_season,outside_season,332640.0,0.0,488.8230908959338,0.0,488.8230908959338,0.0014695258865317,,0.0,332640.0,0.0,0.0,0.0,,,False,0.0,207.37581543000525,,637.8637613809228,149.04067048498905,0.0019175798502312495,0.0019175798502312495
2026-06-11,0,outside_season,outside_season,336357.0,0.0,506.4913953861483,0.0,506.4913953861483,0.0015058149388481,,0.0,336357.0,0.0,0.0,0.0,,,False,0.0,212.49683567487435,,639.1633653486704,132.67196996252204,0.0019002529019722211,0.0019002529019722211
2026-06-18,4,pre_leap,missing_challenger_count,393763.0,,512.3808302162212,97.1756746961782,609.5565049123994,0.0013012416865378,,,,,,,,,False,,183.62797027970163,,857.3034025030339,247.7468975906345,,
2026-06-25,4,pre_leap,valid,432475.0,472376.0,512.1817689078451,168.04795396541215,680.2297228732573,0.0011843037606979,0.0003557504063826,0.3003878043695462,574370.9894768688,141895.98947686877,0.2949951915333757,0.3046230660724985,0.2034513937108482,1.1377475997810536,False,0.0,167.12598283735392,50.2026070376152,1072.6991596510863,392.46943677782906,0.0011843037606979483,0.0020918000015854657
2026-07-02,4,pre_leap,valid,395729.0,450911.0,518.4971422797536,205.90334181903995,724.4004840987935,0.0013102328671382,0.0004566385424596,0.3485170872388928,552879.1883239765,157150.1883239764,0.3404257466210567,0.3565859298336734,0.1964823319371658,1.1785197395621625,False,1.654976301813534e-16,184.8967831844393,64.43968831528188,1040.099476446841,315.69899234804745,0.0013102328671382526,0.002107998490451296
2026-07-09,4,pre_leap,valid,372451.0,431527.0,518.490808320614,235.3568499285371,753.847658249151,0.0013921047555802,0.0005454046906185,0.3917842306279536,541516.473690189,169065.47369018896,0.3830639403450506,0.4004924150687666,0.1890600235023644,1.2412201542981316,False,0.0,196.4503391864507,76.96614499476412,1015.5044957308223,261.65683748167135,0.0013921047555802346,0.002094631631549614
2026-07-16,4,pre_leap,valid,364034.0,412846.0,524.0470189225312,259.2478134769772,783.2948323995084,0.001439555148482,0.0006279528286018,0.4362131101847838,544122.8376873473,180088.8376873473,0.4231746693248387,0.4492191060515021,0.1892376776445458,1.310289356385113,False,0.0,203.1464198820558,88.6151316396556,1040.8921081240928,257.5972757245844,0.0014395551484820955,0.0021471738756465484
2026-07-23,4,post_leap,valid,350778.0,399123.0,535.9580237405683,279.72870022433324,815.6867239649015,0.0015279123084702,0.0007008583825646,0.4587032768040983,533857.0279478822,183079.02794788213,0.4274381847974886,0.4902533525646709,0.0,3.547446685949858,False,0.0,215.61516117443404,98.90338095935668,1102.7261534704119,287.0394295055104,0.001527912308470224,0.002346206014191536
2026-07-30,4,post_leap,valid,338148.0,380114.0,547.9947452951455,294.1944354050777,842.1891807002232,0.0016205766270838,0.0007739636935368,0.4775853733800892,519684.8866169992,181536.88661699925,0.4387497311180857,0.516947856903969,0.0,3.5739920683074886,False,0.0,228.69171791282275,109.21981948832948,1293.9960742605092,451.80689356028597,0.0016205766270838376,0.002956698365376792
2026-08-06,4,post_leap,valid,332303.0,367949.0,559.3519509268257,309.3396865087195,868.6916374355452,0.001683258805749,0.0008407134861318,0.4994558669530979,516077.2867895254,183774.28678952545,0.4557114941712031,0.5472431646019374,0.0,3.537229570764786,False,0.0,237.53727009585057,118.63938316939524,1158.4151096879323,289.72347225238707,0.0016832588057490473,0.0025551241583109774
2026-08-13,4,post_leap,valid,327645.0,354963.0,572.8939386925333,322.3001554783336,895.1940941708668,0.0017485203152574,0.0009079823966958,0.5192861580004614,511972.37250231777,184327.37250231777,0.4623784282338618,0.5765494526896345,0.0,3.5309937735965216,False,0.0,246.7468109923656,128.13220347909154,1155.1363638938103,259.9422697229435,0.0017485203152574687,0.002541885908271076
2026-08-20,4,post_leap,valid,332295.0,343054.0,599.7583667726744,344.7359559994829,944.4943227721574,0.0018048973555806,0.0010049028899225,0.556764564375595,523295.3108673054,191000.31086730532,0.486307866396818,0.6262815255633232,0.0,3.3480453387904623,False,0.0,254.70259783198625,141.80938092725816,1183.6974278362397,239.20310506408237,0.0018048973555806571,0.0025247490086722844
